arch,seed,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
widelenet,0,1e-06,diag,0.5,probit,5,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,0.11206800490617752,0.050918787717819214,0.9889000058174133,0.044019605964422226
widelenet,0,1e-06,diag,0.5,probit,15,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,0.2051079273223877,0.07977322489023209,0.9763000011444092,0.08503007888793945
widelenet,0,1e-06,diag,0.5,probit,30,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,0.5743417143821716,0.1271173655986786,0.8942999839782715,0.24509507417678833
widelenet,0,1e-06,diag,0.5,probit,45,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,1.2746390104293823,0.13747939467430115,0.6739000082015991,0.5287618041038513
widelenet,0,1e-06,diag,0.5,probit,60,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,2.0463905334472656,0.20448267459869385,0.4120999872684479,0.8174534440040588
widelenet,0,1e-06,diag,0.5,probit,90,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,2.7362163066864014,0.2802026867866516,0.18559999763965607,1.020765781402588
widelenet,0,1e-06,diag,0.5,probit,120,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,2.9708235263824463,0.30122438073158264,0.21160000562667847,1.0684870481491089
widelenet,0,1e-06,diag,0.5,probit,160,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,2.907459020614624,0.2941368520259857,0.35839998722076416,0.9444817304611206
widelenet,0,1e-06,diag,0.5,probit,180,0.08507131785154343,0.038995496928691864,0.9918000102043152,0.03281253203749657,3.209395408630371,0.32609838247299194,0.3882000148296356,0.9640974402427673
widelenet,42,1e-06,diag,0.5,probit,5,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,0.08039668947458267,0.03082245960831642,0.9865999817848206,0.030090374872088432
widelenet,42,1e-06,diag,0.5,probit,15,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,0.16174864768981934,0.056558482348918915,0.9724000096321106,0.06485877186059952
widelenet,42,1e-06,diag,0.5,probit,30,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,0.5476422905921936,0.07878678292036057,0.8676000237464905,0.23121997714042664
widelenet,42,1e-06,diag,0.5,probit,45,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,1.3923078775405884,0.09925447404384613,0.6297000050544739,0.5514715909957886
widelenet,42,1e-06,diag,0.5,probit,60,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,2.219078540802002,0.17726102471351624,0.3677999973297119,0.8535658121109009
widelenet,42,1e-06,diag,0.5,probit,90,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,2.9204983711242676,0.30506432056427,0.16769999265670776,1.0459105968475342
widelenet,42,1e-06,diag,0.5,probit,120,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,2.9118523597717285,0.30953729152679443,0.2272000014781952,1.0323132276535034
widelenet,42,1e-06,diag,0.5,probit,160,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,2.757315158843994,0.3101845383644104,0.33809998631477356,0.9648275375366211
